NSMatchingPredicateOperator,NSStringPredicateOperator
DOMHTMLMenuElement,DOMHTMLElement
_UIViewAnimationDelegate,NSObject
UIStoryboardSegueTemplate,NSObject
WebMainThreadInvoker,NSProxy
CIPageCurlTransition,CIFilter
NSLikePredicateOperator,NSMatchingPredicateOperator
CAStateControllerAnimation,NSObject
UIKBHandwritingStrokeView,UIView
_UIRefreshControlAnimationDelegate,NSObject
NSConcreteTask,NSTask
_UITableViewDeleteAnimationSupport,NSObject
UIStatusBarThermalColorItemView,UIStatusBarItemView
_NSCachedAttributedString,NSMutableAttributedString
__NSCFURLLocalStreamTaskWorkBlockOp,__NSCFURLLocalStreamTaskWork
UIDeviceWhiteColor,UIColor
UIImageLSResourceProxy,UIImage
BoxedPhysicsShape,NSObject
CIConvolution,CIFilter
_CUIInternalLinkRendition,CUIThemeRendition
UIApplicationSceneSettings,FBSSceneSettings
CFPrefsPlistSource,CFPrefsSource
UIKBEmojiSnapshotSizingView,UIView
_UITableViewCellOldEditingData,NSObject
UIHandleRemoteNotificationAction,BSAction
UIPreviewForceInteractionProgress,UIInteractionProgress
UITextEffectsWindowHosted,UITextEffectsWindow
CASmoothedTextLayer,CATextLayer
UIKeyboardWipeGestureRecognizer,UIGestureRecognizer
UIInsertControl,UIRemoveControl
NSOrderedSet,NSObject
NSKeyValueMethodGetter,NSKeyValueGetter
__NSCFTimer,NSTimer
JSExport,null
NSURLSessionStreamTask,NSURLSessionTask
_UITouchForceMessage,NSObject
NSFileSubarbitrationClaim,NSFileAccessClaim
NSKeyValueSetter,NSKeyValueAccessor
CIContext,NSObject
UIInputViewAnimationControllerViewController,NSObject
_UIPopoverViewBackgroundComponentView,UIView
DOMCSSStyleSheet,DOMStyleSheet
NSTask,NSObject
CIRadialGradient,CIFilter
FBSDisplayLayoutElement,NSObject
DOMTouch,DOMObject
UITextEffectsWindowNoAbove,UITextEffectsWindow
_UITextInputControllerTokenizer,UITextInputStringTokenizer
OS_xpc_pointer,OS_xpc_object
UIStatusBarItemView,UIView
CAStateControllerLayer,NSObject
_NSCFTranslatedFileURLProtocol_PIMPL_5,_NSCFTranslatedFileURLProtocol
WebPluginContainerCheck,NSObject
UIDebuggingInformationViewController,UIViewController
BSXPCReply,NSObject
UITableViewCellEditControl,UIControl
DOMHTMLLIElement,DOMHTMLElement
CICopyMachineTransition,CIFilter
AUAudioUnit,NSObject
UIFocusAnimationCoordinator,NSObject
_UIViewServiceImplicitAnimationDecodingProxy,_UITargetedProxy
NSCountedSet,NSMutableSet
_CUIExternalLinkRendition,CUIThemeRendition
WebCoreMotionManager,NSObject
_UITableViewUpdateSupport,NSObject
_UIModalItemAlertBackgroundView,_UIModalItemBackgroundView
UITextCheckerDictionaryEntry,NSObject
UITextView,UIScrollView
JSObjCClassInfo,NSObject
_NSXPCConnectionRequestedReplyInfo,NSObject
_NSCFTranslatedFileURLProtocol_PIMPL_6,_NSCFTranslatedFileURLProtocol
UILongPressGestureRecognizer,UIGestureRecognizer
WebDeviceOrientationInternal,NSObject
UICollectionViewFlowLayout,UICollectionViewLayout
FBSSystemServiceFacilityClient,NSObject
UIKBTree,NSObject
NSSimpleCString,NSString
__NSOrderedSetReverseEnumerator,NSEnumerator
TIKeyEventMapWubi,TIKeyEventMapChinese
_UIViewServiceViewControllerOperator_XPCInterface,NSObject
_UIBackdropViewSettingsLightKeyboard,_UIBackdropViewSettings
UIPrintPreviewViewController,UICollectionViewController
CITile2Filter,CITileFilter
_UIForceLevelClassifier,NSObject
OS_nw_array,OS_object
WebPlainWhiteView,WAKView
_UIBackdropViewSettingsATVMenuLight,_UIBackdropViewSettings
DBGViewDebuggerSupport,NSObject
_UIModalItemContentView,UIView
_UISiriStreamingManager,NSObject
UIMutableUserNotificationAction,UIUserNotificationAction
UITableViewIndexOverlaySelectionViewCollectionViewCell,UICollectionViewCell
NSKeyedUnarchiver,NSCoder
_NSPersonNameComponentsData,NSObject
UITextEffectsHostingInfo,NSObject
NSUndoManagerProxy,NSProxy
UISearchContainerViewController,UIViewController
_CUILayerStackRendition,_CUIRawDataRendition
UIScrubberTimeView,UIView
CIPageCurlWithShadowTransition,CIFilter
_UIViewKeyValueAnimationFactoryTransition,NSObject
NSBlockInvocation,NSInvocation
NSPhoneNumberCheckingResult,NSTextCheckingResult
NSCFData,NSMutableData
UISnapshotView,UIView
_UISnapshotWindow,UIWindow
UIDictationStreamingOperation,NSInvocationOperation
UIKeyCommandDiscoverabilityHUD,NSObject
_NSXPCConnectionImportInfo,NSObject
CIFilter,NSObject
WebDefaultUIDelegate,NSObject
UIInputSwitcherView,UIKeyboardMenuView
CAContext,NSObject
DOMCSSStyleRule,DOMCSSRule
AUAudioUnitProperty,NSObject
NSStackObservedValue,NSObservedValue
CIGaussianGradient,CIFilter
FBSWorkspaceSceneClientSettingsChangedEvent,FBSWorkspaceSceneEvent
NSMutableOrderedSet,NSOrderedSet
_UIViewKeyValueAnimationFactory,NSObject
_UICollectionViewControllerLayoutToLayoutTransition,NSObject
UIConcreteLocalNotification,UILocalNotification
UISnapBehavior,UIDynamicBehavior
__NSCFCharacterSet,NSMutableCharacterSet
NSPropertyListSerialization,NSObject
UIKBRecentInputCell,UICollectionViewCell
CIAutoEnhanceFace,NSObject
NSFileWritingWritingClaim,NSFileAccessClaim
BSXPCMessage,NSObject
DOMTextEvent,DOMUIEvent
_UIModalItemBackgroundView,UIView
UINib,NSObject
